time,TA TSI,TG TSI,TA Kestrel,TG Kestrel,TA V2,TA V3,RH TSI,RH Kestrel,RH V2,RH V3
09:50,73.2,73.2,73.5,73.1,72.9,72.6,NA,NA,NA,NA
09:57,78.3,86.3,81.3,82.1,76.4,80.1,NA,NA,NA,NA
09:59,88.0,89.5,81.5,87.2,77.7,81.9,90,77.5,88.14,73.3
10:04,81.9,93.6,83.9,93.3,80.8,84.7,86,77.5,93.5,78
10:06,83.2,99.2,87.0,96.6,82.0,86.6,83,69,79.7,66.5
10:08,84.0,101.0,87.4,92.1,83.1,88.4,80,68,77.44,66
10:11,85.3,106.4,89.6,102.2,84.1,87.9,76,65.3,75.8,60.6
10:17,88.4,115.9,94.4,109.8,88.1,94.2,68,58.4,65,54.3
10:20,89.5,118.0,94.9,115.0,89.6,96.6,65,57,63.9,50.3
10:22,89.8,120.0,96.2,113.0,91.4,101.0,61,36.5,60.93,49
10:27,89.9,116.8,95.6,109.5,94.5,92.2,56,53.9,53.6,53.2
10:35,91.0,117.2,93.0,110.9,97.6,96.1,50,52.6,46.4,52.0
10:38,90.7,116.5,92.4,110.2,98.6,93.4,51,59,46.3,53.1
10:41,91.2,117.2,93.0,118.3,99.5,94.2,47,52,45.1,53.0
10:47,91.6,115.3,96.3,107.7,99.3,93.5,42,54.9,43.7,47.7
10:49,91.6,118.3,97.2,111.4,100.5,98.8,46,53.2,45.3,43
10:54,93.3,124.2,98.5,115.0,102.9,104.0,43,55.5,45.6,44.5
10:56,93.6,123.4,94.8,116.0,103.1,101.3,46,52.0,38.9,43.5
11:02,92.6,118.4,92.5,111.8,102.8,92.5,45,54.4,43.59,48.2
11:07,93.0,122.0,93.0,115.0,103.6,99.6,43,59.6,40.87,47.6
11:11,92.4,121.7,93.9,114.1,104.4,95.0,41,54.1,39.3,51.2
11:16,94.8,124.7,101.8,115.6,105.3,98.6,41,47.7,39.6,47.0
11:18,95.7,126.8,102.3,119.3,105.8,104.8,41,51.7,39.6,43.0
11:20,95.6,127.8,100.2,120.5,106.1,104.8,40,55,40.5,44.3
11:23,95.7,125.1,95.6,118.0,106.9,100.9,39,53,38.6,43.0
11:26,95.3,122.7,99.0,115.4,104.0,98.3,37,49,37.6,47.3
11:28,95.2,122.7,92.3,116.4,106.1,98.3,36,53,37.8,46.9
11:33,96.2,126.3,99.5,119.4,107.2,102.1,37,53.8,38.7,45.8
11:38,96.1,127.0,99.8,119.5,108.4,96.5,32,47.8,34.27,NA
11:40,94.8,127.0,92.9,119.7,108.0,97.9,34,61.5,34,47.4
11:43,94.4,126.2,92.8,118.9,108.3,102.6,34,58,35,42.6
11:46,94.2,127.2,98.7,119.3,108.7,103.9,34,56.0,36.2,41.7
11:48,95.7,129.3,95.8,120.1,109.0,104.0,33,52,36.8,42
11:56,96.8,127.9,99.8,120.3,108.5,105.0,34,51.9,36.5,40.4
11:58,96.6,129.6,98.6,120.9,109.0,100.0,32,50.2,36.9,44.8
12:01,96.9,128.8,97.3,122.3,109.5,104.3,31,52.9,39.1,43.0
12:04,95.7,129.4,99.3,122.3,110.3,109.0,33,53.4,35.5,40.8
12:07,95.5,129.4,94.7,120.8,110.6,99.5,32,54.5,34.53,45.7
12:18,95.3,126.8,96.8,118.4,109.9,97.0,31,49.2,35.09,47.0
12:12,95.5,122.5,97.7,115.0,105.9,95.6,29,48.0,34.57,45.8
12:14,96.3,123.8,99.3,115.8,106.6,96.8,31,48.1,35.17,48.4
12:16,97.6,126.0,100.3,118.9,107.8,100.4,31,48.5,36.88,42.6
12:18,98.9,130.5,100.1,122.6,109.1,102.0,29,46,36.08,40.5
12:22,99.1,131.4,99.2,122.0,110.5,99.5,30,47.2,35.37,48.7
12:24,98.2,124.3,99.0,117.9,108.5,99.3,29,48,32.8,43.8
12:27,99.8,130.9,100.0,122.1,109.1,101.3,28,46,33.7,43.7
12:31,98.5,128.3,99.2,NA,109.7,99.5,29,48,32.1,45.3
12:33,97.7,125.8,98.6,119.0,109.8,101.8,29,50.6,33.1,43.0
12:37,96.6,124.8,93.8,118.0,109.8,91.3,30,52,34.7,48.1
12:39,94.7,126.2,94.7,117.0,109.8,99.1,30,53.3,33.9,50.7
12:41,95.0,121.8,98.3,113.6,107.2,98.3,30,48.6,35.47,48.9
12:43,96.5,125.6,96.9,117.2,108.9,98.4,31,51.5,32.76,46.5
12:46,97.3,127.9,95.9,122.3,109.1,98.3,31,52,35.91,45.4
12:49,96.1,128.5,97.5,122.4,109.1,96.7,31,56.8,36.15,50.2
12:51,95.8,127.4,96.5,122.3,109.9,96.3,30,52,36.82,50.0
12:55,97.0,130.1,98.1,121.1,118.3,96.7,28,50.5,34.6,49.7
13:00,99.3,137.4,100.3,125.1,110.9,101.3,26,45.6,33.4,47.8
13:02,99.2,131.0,100.6,123.0,112.0,98.7,24,42.3,31.8,42.6
13:05,99.0,129.8,95.3,123.8,111.1,100.6,26,50,31.2,43.2
13:07,98.1,131.2,99.5,124.0,112.0,100.3,26,53,30.95,49.5
13:09,98.4,131.8,99.7,124.7,112.6,102.7,27,50,33.6,41.4
13:12,99.4,133.0,100.6,124.1,113.6,92.2,27,48.5,32.9,42.4
13:15,99.3,133.8,97.6,126.1,113.1,101.9,26,53,32.8,41.2
13:17,99.9,135.5,96.0,126.7,114.1,102.6,25,50,32.12,42.9
13:19,98.8,135.5,96.6,124.5,114.8,100.3,25,48.8,30.72,41.8
13:21,97.0,121.0,95.5,114.8,114.0,96.7,26,51.3,28.4,48.2
